war_total,next_season_war_total,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
3.903710121,2.192501622,Tayshaun Prince,princta01,2009,5811,3186,0.613343695,-0.915653238,-0.302309543,4.206171897,-0.302461776,0.352054336,-1.167132139,-0.815077803,-1.060789089,DET,29,205.74,97.52228,Kentucky,USA,2002,1,23,82,14.2,5.8,3.1,-1.8,0.049,0.13699999999999998,0.192,0.516,0.139
2.192501622,2.069544156,Tayshaun Prince,princta01,2010,3103,1664,1.361013474,-1.505969661,-0.144956187,2.192501622,0,0.890889216,-1.626678386,-0.73578917,-0.811083038,DET,30,205.74,97.52228,Kentucky,USA,2002,1,23,49,13.5,5.1,3.3,-5,0.049,0.13699999999999998,0.193,0.53,0.165
2.069544156,0.174591341,Tayshaun Prince,princta01,2011,4816,2562,0.741322419,-1.890854828,-1.14953241,2.069544156,0,0.439907303,-2.138715235,-1.698807932,-1.00137827,DET,31,205.74,97.52228,Kentucky,USA,2002,1,23,78,14.1,4.2,2.8,-3.8,0.036,0.126,0.211,0.511,0.142
0.174591341,2.542127623,Tayshaun Prince,princta01,2012,3923,2087,-0.983939516,-1.600565306,-2.584504822,0.174591341,0,-1.209242048,-1.67297765,-2.882219698,-0.852060137,DET,32,205.74,97.52228,Kentucky,USA,2002,1,23,63,12.7,4.5,2.4,-7.3,0.04099999999999999,0.125,0.204,0.47,0.127
2.542127623,0.885263656,Tayshaun Prince,princta01,2013,5821,3085,-0.539054409,-0.603041061,-1.142095469,2.054215032,0.487912592,-0.955191643,-0.984983425,-1.940175069,-0.598484699,MEM,33,205.74,97.52228,Kentucky,USA,2002,1,23,82,10.4,4.4,2.4,2.3,0.032,0.127,0.172,0.486,0.122
0.885263656,0.682817941,Tayshaun Prince,princta01,2014,3860,2061,-3.102095507,1.210314099,-1.891781409,0.886466139,-0.001202483,-3.20008935,0.723340175,-2.476749175,-1.809472395,MEM,34,205.74,97.52228,Kentucky,USA,2002,1,23,76,6,3.1,1.6,0.7,0.019,0.123,0.136,0.43799999999999994,0.09
0.682817941,0.176691462,Tayshaun Prince,princta01,2015,2702,1397,-0.715809802,-1.037168991,-1.752978793,0.682817941,0,-0.832845187,-1.133901383,-1.96674657,-1.398978302,DET,35,205.74,97.52228,Kentucky,USA,2002,1,23,58,7.5,3.6,1.6,-4.8,0.04099999999999999,0.127,0.153,0.504,0.109
0.176691462,NA,Tayshaun Prince,princta01,2016,2889,1462,-2.844510878,0.336239376,-2.508271502,0.176691462,0,-3.731253367,-0.751333767,-4.482587134,-1.959963607,MIN,36,205.74,96.161504,Kentucky,USA,2002,1,23,77,2.9,1.9,1,-1.9,0.025,0.08900000000000001,0.083,0.466,0.073
0.2998332,3.426780338107338,Terance Mann,mannte01,2020,863,389,-2.138797789,0.920242395,-1.218555394,0.216661283,0.083171917,-2.709211368,0.54578605,-2.163425318,-0.752852572,LAC,23,195.58,97.52228,Florida State,USA,2019,2,48,41,2.4,1.3,1.3,0.1,0.026,0.112,0.123,0.545,0.209
3.426780338107338,NA,Terance Mann,mannte01,2021,3380,1641,0.8727379606904526,0.3815041335707918,1.254242094261244,1.580572332100338,1.846208006007,0.3981947410386942,0.8064130351958332,1.204607776234527,-0.8487030515655324,LAC,24,195.58,97.52228,Florida State,USA,2019,2,48,67,7,3.6,1.6,2.7,0.044,0.14,0.14400000000000002,0.603,0.114
